M1,M2,M3,Datetime
271,273,277,14
272,273,277,14
274,274,277,14
272,274,277,14
272,274,277,14
272,273,277,14
273,274,278,14
272,273,277,14
271,274,278,14
272,273,276,14
272,273,277,14
272,273,279,14
273,275,278,14
273,274,278,14
272,274,277,14
272,273,277,14
272,273,276,15
272,274,277,15
271,273,277,15
273,274,278,15
272,273,278,15
273,273,276,15
272,274,276,15
273,275,278,15
274,275,278,15
273,274,277,15
273,273,278,15
272,274,276,15
273,273,277,15
273,274,277,15
273,274,276,15
271,272,277,15
271,272,277,15
273,273,276,15
273,276,278,15
274,274,279,15
273,275,276,16
272,275,278,16
274,276,278,16
273,273,276,16
273,273,277,16
273,275,277,16
272,274,277,16
273,273,278,16
272,272,276,16
271,272,275,16
272,273,276,16
272,273,277,16
273,273,276,16
271,273,277,16
273,273,276,16
272,274,277,16
272,274,276,16
274,274,277,16
274,275,278,16
272,273,276,16
273,274,277,17
273,274,276,17
273,274,276,17
272,273,275,17
272,273,277,17
271,274,276,17
273,274,277,17
273,274,277,17
273,275,276,17
271,273,276,17
273,273,276,17
272,272,276,17
272,273,276,17
272,274,278,17
271,273,276,17
272,274,277,17
271,273,276,17
271,273,276,17
272,273,276,17
272,273,276,17
273,273,276,18
273,273,276,18
272,273,276,18
273,275,277,18
273,274,276,18
271,273,277,18
273,273,276,18
271,274,276,18
273,273,276,18
272,274,277,18
272,273,275,18
272,274,276,18
272,273,276,18
272,274,277,18
272,274,277,18
274,275,279,18
274,275,278,18
273,273,276,18
274,274,278,18
273,273,277,18
271,273,276,19
273,273,276,19
273,274,277,19
272,274,277,19
273,273,276,19
272,274,276,19
272,276,277,19
273,275,277,19
272,273,276,19
274,275,278,19
274,274,279,19
272,274,276,19
273,273,276,19
272,273,276,19
272,273,276,19
272,273,277,19
272,274,277,19
272,273,277,19
271,273,275,19
273,275,277,19
273,273,276,20
274,275,277,20
274,275,278,20
274,274,277,20
272,274,277,20
273,273,276,20
275,275,279,20
271,273,276,20
272,273,275,20
272,273,277,20
274,275,279,20
272,273,276,20
273,274,277,20
273,272,276,20
273,273,277,20
272,273,277,20
274,274,278,20
272,273,276,20
272,273,276,20
271,273,276,20
273,273,276,21
272,274,277,21
273,276,278,21
272,272,275,21
272,273,276,21
273,275,277,21
271,273,277,21
273,275,279,21
273,275,276,21
273,274,277,21
273,272,276,21
273,273,277,21
274,275,276,21
271,273,276,21
272,273,280,21
273,274,279,21
272,273,278,21
273,274,278,21
275,275,279,21
273,274,277,21
670,273,277,22
677,675,279,22
674,673,277,22
677,675,675,22
676,675,676,22
676,674,676,22
677,675,676,22
675,673,675,22
679,678,678,22
675,673,677,22
674,673,674,22
674,673,674,22
675,674,675,22
677,673,675,22
678,675,675,22
676,673,674,22
673,673,675,22
679,676,679,22
674,673,674,22
676,674,675,22
675,674,676,23
677,675,677,23
674,673,674,23
674,673,674,23
674,672,673,23
677,674,677,23
678,677,679,23
674,673,674,23
675,674,674,23
674,672,675,23
675,673,674,23
675,673,674,23
674,672,674,23
675,675,677,23
674,673,676,23
675,674,674,23
676,677,675,23
676,673,674,23
675,675,676,23
674,674,677,23
675,676,677,24
675,673,676,24
675,674,675,24
674,672,675,24
674,674,676,24
675,673,674,24
674,673,674,24
676,674,676,24
674,673,674,24
676,674,677,24
677,674,674,24
675,674,676,24
674,674,674,24
676,675,676,24
675,672,674,24
674,674,675,24
675,673,674,24
677,675,674,24
675,673,674,24
675,673,674,24
676,674,676,25
675,673,676,25
679,674,677,25
677,673,676,25
677,673,677,25
674,670,674,25
675,672,676,25
678,672,675,25
676,671,675,25
674,669,674,25
674,672,675,25
676,672,676,25
675,669,675,25
676,670,676,25
676,670,676,25
676,670,675,25
676,670,677,25
675,671,676,25
675,668,674,25
678,671,678,25
677,671,678,26
676,670,676,26
677,668,676,26
673,665,674,26
677,666,676,26
676,668,676,26
677,668,677,26
679,669,678,26
678,668,677,26
677,667,674,26
676,666,676,26
679,670,680,26
678,667,679,26
678,664,675,26
679,668,677,26
678,668,678,26
675,665,675,26
675,666,676,26
675,664,675,26
676,665,676,26
675,663,674,27
675,664,674,27
674,663,674,27
679,667,679,27
678,666,679,27
674,662,675,27
674,662,673,27
678,665,676,27
674,663,675,27
674,662,674,27
675,662,675,27
674,662,674,27
679,665,678,27
674,662,675,27
675,663,676,27
675,662,675,27
674,661,676,27
675,662,677,27
680,664,677,27
680,664,677,27
681,668,680,28
678,664,679,28
674,660,676,28
677,663,677,28
676,663,677,28
676,662,676,28
677,664,677,28
677,662,678,28
680,665,680,28
675,659,675,28
675,660,675,28
677,661,675,28
676,660,676,28
674,659,677,28
675,658,674,28
676,659,676,28
676,660,676,28
675,659,675,28
674,659,676,28
676,658,677,28
676,659,674,29
675,658,675,29
675,657,674,29
679,662,679,29
674,658,674,29
676,659,675,29
681,663,680,29
678,661,679,29
674,657,675,29
674,656,674,29
674,657,675,29
675,659,676,29
674,657,675,29
676,657,675,29
675,656,674,29
675,658,676,29
674,656,674,29
677,658,674,29
674,656,674,29
675,658,677,29
676,659,676,30
679,663,680,30
679,659,677,30
674,656,674,30
675,656,674,30
677,657,674,30
675,656,674,30
678,659,677,30
678,660,678,30
675,655,675,30
675,656,674,30
679,660,680,30
676,659,676,30
675,656,674,30
678,659,678,30
675,656,674,30
674,656,676,30
675,656,676,30
675,659,677,30
676,656,677,30
680,660,678,31
675,657,677,31
674,655,674,31
675,656,676,31
675,656,674,31
674,656,674,31
679,659,678,31
678,659,678,31
675,657,675,31
676,656,676,31
679,657,677,31
674,655,677,31
676,655,675,31
674,655,675,31
675,655,675,31
674,655,676,31
676,656,676,31
676,656,676,31
675,658,678,31
677,656,673,31
674,654,675,32
675,654,675,32
674,654,676,32
675,654,674,32
676,655,675,32
674,654,674,32
675,655,675,32
674,653,676,32
675,654,674,32
679,659,679,32
679,659,679,32
676,656,676,32
678,657,677,32
675,655,677,32
677,656,678,32
676,655,673,32
675,655,675,32
678,656,676,32
677,657,678,32
677,656,677,32
676,656,677,33
675,653,674,33
674,653,674,33
675,653,674,33
677,657,678,33
675,654,675,33
677,654,677,33
679,657,678,33
676,654,676,33
680,658,677,33
676,654,678,33
677,655,676,33
675,653,674,33
675,653,674,33
675,653,676,33
675,654,675,33
675,654,675,33
675,654,676,33
677,656,680,33
674,653,674,33
674,653,675,34
676,654,675,34
678,657,677,34
675,652,675,34
677,655,676,34
674,654,674,34
675,655,676,34
678,655,677,34
678,656,677,34
675,653,675,34
677,657,680,34
679,659,679,34
675,653,674,34
676,654,675,34
678,656,676,34
674,652,676,34
674,653,677,34
678,656,677,34
677,655,676,34
674,657,679,34
674,652,673,35
676,654,676,35
674,653,674,35
679,655,678,35
677,655,676,35
678,657,678,35
678,655,676,35
677,654,675,35
675,652,675,35
675,654,676,35
676,655,675,35
678,656,678,35
675,653,674,35
676,655,678,35
677,653,675,35
678,656,677,35
676,653,675,35
678,658,679,35
678,655,676,35
677,655,676,35
677,654,675,36
677,654,679,36
675,653,675,36
675,653,675,36
675,652,674,36
675,653,675,36
675,652,674,36
676,653,676,36
676,652,675,36
675,652,676,36
675,652,674,36
675,652,675,36
675,653,674,36
675,652,674,36
676,655,677,36
677,655,677,36
677,654,677,36
674,651,674,36
675,653,674,36
677,654,676,36
677,653,677,37
676,654,677,37
677,654,676,37
678,656,679,37
678,655,676,37
678,655,677,37
679,655,677,37
676,654,676,37
678,654,676,37
678,654,676,37
676,653,676,37
681,656,678,37
681,658,682,37
677,655,678,37
682,658,680,37
676,654,677,37
676,653,678,37
679,656,678,37
677,653,675,37
675,653,676,37
679,655,678,38
676,653,676,38
676,653,675,38
678,655,677,38
677,654,676,38
677,655,677,38
680,656,679,38
675,652,675,38
675,652,676,38
680,656,680,38
680,656,678,38
679,655,679,38
679,656,679,38
680,656,679,38
676,655,680,38
680,657,680,38
675,653,677,38
680,656,679,38
674,652,674,38
674,651,676,38
679,656,679,39
675,653,678,39
679,657,679,39
677,653,676,39
675,651,675,39
675,652,674,39
675,652,675,39
676,653,676,39
679,657,680,39
677,653,676,39
679,656,680,39
680,654,676,39
675,652,676,39
680,656,679,39
681,656,680,39
678,653,677,39
678,657,678,39
677,654,677,39
677,654,677,39
679,654,676,39
677,654,677,40
676,653,676,40
677,653,676,40
675,652,675,40
675,653,681,40
678,655,678,40
677,655,678,40
678,655,677,40
675,652,674,40
676,652,675,40
677,653,675,40
678,655,679,40
675,652,675,40
677,654,677,40
680,657,680,40
678,655,678,40
675,651,675,40
675,652,674,40
676,654,675,40
676,652,677,40
677,652,675,41
675,652,675,41
676,653,678,41
678,654,679,41
675,652,674,41
677,653,675,41
676,653,677,41
679,655,680,41
675,652,675,41
675,652,674,41
677,652,676,41
675,652,675,41
679,655,676,41
676,653,676,41
677,654,678,41
674,652,675,41
677,653,677,41
676,653,676,41
676,652,674,41
676,651,674,41
675,652,676,42
676,653,676,42
677,654,676,42
677,654,678,42
675,652,675,42
675,652,674,42
675,653,675,42
679,654,677,42
676,653,678,42
678,654,676,42
678,654,675,42
675,655,680,42
674,651,676,42
677,654,676,42
677,654,677,42
675,651,675,42
680,656,680,42
680,656,680,42
675,651,676,42
676,653,676,42
677,653,676,43
675,652,674,43
676,654,677,43
677,654,678,43
678,655,678,43
675,652,675,43
676,652,676,43
675,652,675,43
676,652,675,43
678,655,678,43
677,654,678,43
675,652,675,43
675,652,675,43
677,654,677,43
677,654,678,43
677,655,678,43
678,655,677,43
677,652,675,43
675,653,676,43
677,654,677,43
678,654,677,44
676,655,681,44
676,653,675,44
675,652,674,44
675,652,675,44
675,651,675,44
676,652,675,44
675,653,675,44
677,654,678,44
675,652,675,44
675,652,681,44
676,653,677,44
675,651,675,44
675,652,675,44
678,652,674,44
675,655,675,44
675,651,675,44
678,655,678,44
678,654,678,44
678,654,677,44
676,652,675,45
675,651,676,45
679,653,677,45
678,653,677,45
678,652,674,45
677,653,677,45
677,653,677,45
678,655,677,45
677,653,676,45
678,654,678,45
677,654,678,45
675,652,675,45
675,652,677,45
679,653,677,45
675,651,675,45
674,652,675,45
675,651,675,45
677,654,678,45
676,652,676,45
677,652,677,45
680,656,679,46
675,651,677,46
675,651,676,46
680,655,679,46
675,651,675,46
676,653,678,46
675,652,675,46
676,653,675,46
680,656,680,46
683,655,679,46
676,652,675,46
677,653,677,46
675,652,675,46
677,653,679,46
675,651,675,46
679,655,680,46
677,653,677,46
678,654,678,46
675,651,675,46
676,652,676,46
676,651,675,47
677,653,677,47
677,652,675,47
676,652,675,47
678,654,675,47
677,653,677,47
675,651,675,47
680,657,680,47
675,652,675,47
678,654,680,47
677,653,676,47
675,651,675,47
676,652,676,47
680,656,680,47
675,653,678,47
678,653,677,47
678,654,678,47
677,652,676,47
675,651,675,47
677,654,677,47
682,653,680,48
675,651,674,48
677,653,677,48
675,651,675,48
680,656,680,48
676,652,675,48
675,651,675,48
675,651,675,48
680,656,679,48
675,652,675,48
675,651,675,48
676,652,675,48
675,651,675,48
675,652,675,48
678,654,678,48
675,652,676,48
675,652,675,48
676,651,675,48
677,652,677,48
680,655,679,48
677,653,678,49
677,654,678,49
677,653,676,49
678,653,678,49
679,654,679,49
678,655,679,49
681,656,680,49
678,654,679,49
678,652,676,49
680,655,679,49
680,655,679,49
678,653,679,49
678,654,679,49
678,655,679,49
678,653,679,49
682,656,682,49
676,652,677,49
677,651,676,49
679,654,678,49
678,652,677,49
677,652,677,50
677,653,677,50
677,653,676,50
677,653,678,50
677,651,676,50
677,652,677,50
677,652,677,50
680,655,681,50
679,654,680,50
680,654,679,50
678,654,678,50
679,653,679,50
678,654,679,50
677,652,678,50
677,652,676,50
677,652,678,50
679,654,679,50
677,652,678,50
678,653,678,50
677,652,678,50
677,652,678,51
679,654,678,51
678,655,679,51
678,653,678,51
677,654,677,51
677,653,678,51
679,655,680,51
677,653,677,51
678,654,678,51
677,652,677,51
677,651,677,51
676,650,676,51
680,653,679,51
677,651,677,51
678,652,678,51
677,651,677,51
677,651,677,51
679,652,679,51
677,652,678,51
677,650,678,51
678,652,678,52
679,652,679,52
678,653,679,52
676,651,676,52
677,651,677,52
678,651,677,52
676,651,679,52
676,650,676,52
678,652,677,52
680,654,679,52
679,654,679,52
678,651,678,52
678,651,677,52
679,654,680,52
681,655,681,52
678,651,678,52
679,653,678,52
680,653,680,52
677,650,677,52
680,654,680,52
676,652,677,53
677,651,677,53
677,651,679,53
679,652,678,53
681,655,680,53
678,651,677,53
678,652,678,53
679,653,679,53
678,652,678,53
677,650,676,53
678,653,679,53
677,651,678,53
676,651,676,53
679,653,679,53
677,653,678,53
678,652,678,53
678,652,677,53
677,651,678,53
677,650,677,53
677,651,677,53
677,651,677,54
677,651,679,54
678,650,676,54
680,653,680,54
677,651,676,54
678,652,679,54
677,651,678,54
678,651,677,54
679,652,678,54
679,652,679,54
679,652,679,54
676,651,678,54
677,651,677,54
679,653,680,54
678,651,677,54
677,650,677,54
678,651,677,54
679,653,680,54
678,651,677,54
679,652,678,54
677,652,677,55
678,654,679,55
677,651,676,55
676,649,676,55
678,653,677,55
678,651,678,55
676,650,677,55
678,651,677,55
677,650,678,55
677,650,678,55
678,650,677,55
679,651,677,55
678,651,679,55
680,654,679,55
681,654,679,55
677,651,679,55
678,652,678,55
679,651,678,55
676,650,678,55
676,649,675,55
676,650,677,56
679,653,680,56
676,649,676,56
678,653,679,56
677,652,678,56
677,651,677,56
679,652,679,56
676,650,676,56
678,651,678,56
678,650,677,56
676,649,676,56
677,651,677,56
681,654,680,56
676,649,677,56
677,650,676,56
679,651,678,56
677,650,677,56
677,650,677,56
678,653,679,56
678,652,679,56
679,651,679,57
678,650,677,57
677,651,678,57
677,650,677,57
682,655,681,57
679,653,679,57
677,650,677,57
677,650,676,57
678,650,677,57
677,651,678,57
676,649,676,57
676,650,677,57
679,654,681,57
678,651,678,57
677,649,677,57
677,651,678,57
678,651,678,57
678,650,677,57
679,652,679,57
678,651,678,57
677,650,677,58
676,650,676,58
676,651,677,58
677,650,678,58
681,654,680,58
678,651,680,58
677,651,676,58
677,651,679,58
678,651,679,58
679,653,678,58
676,649,676,58
679,651,679,58
677,652,680,58
679,649,676,58
677,650,678,58
677,650,677,58
681,651,677,58
677,650,677,58
679,652,679,58
679,652,680,58
681,654,680,59
677,651,679,59
679,652,678,59
680,653,680,59
679,653,679,59
680,653,679,59
679,652,679,59
677,650,677,59
678,650,679,59
676,650,676,59
677,651,678,59
676,649,676,59
679,653,680,59
678,652,678,59
676,651,677,59
678,650,677,59
681,655,681,59
680,652,679,59
676,650,678,59
676,649,675,59
675,649,675,0
675,649,675,0
676,649,675,0
675,648,674,0
680,653,679,0
677,651,677,0
676,649,678,0
676,649,674,0
677,650,677,0
675,648,675,0
678,650,679,0
675,649,676,0
677,649,676,0
675,649,676,0
680,652,680,0
675,648,674,0
676,649,676,0
677,650,677,0
676,650,675,0
675,652,679,0
678,650,675,1
678,650,674,1
678,651,678,1
677,650,677,1
675,650,679,1
677,650,677,1
678,650,679,1
675,648,675,1
679,651,676,1
678,652,678,1
679,653,679,1
676,648,674,1
676,649,675,1
675,648,677,1
678,651,678,1
675,647,675,1
675,648,675,1
675,648,676,1
675,648,675,1
678,650,677,1
677,650,676,2
675,648,675,2
675,648,675,2
675,648,675,2
677,650,676,2
675,649,677,2
678,652,677,2
676,649,674,2
675,649,675,2
675,648,675,2
676,649,676,2
679,653,680,2
678,650,677,2
676,649,675,2
675,649,676,2
677,651,677,2
675,648,675,2
678,653,678,2
677,652,676,2
675,648,676,2
675,648,675,3
675,649,678,3
675,650,679,3
675,649,678,3
675,648,675,3
675,649,676,3
680,654,680,3
677,651,677,3
675,649,674,3
675,648,675,3
677,650,675,3
680,653,680,3
676,651,679,3
676,648,676,3
677,649,676,3
675,647,675,3
677,650,678,3
675,648,675,3
678,651,677,3
675,648,675,3
675,648,676,4
675,648,675,4
676,648,675,4
677,650,677,4
676,649,678,4
675,648,675,4
676,648,675,4
676,649,675,4
675,647,677,4
677,651,677,4
676,648,676,4
676,648,677,4
677,650,678,4
674,648,674,4
675,649,675,4
675,648,675,4
675,648,674,4
675,648,675,4
676,651,679,4
676,650,676,4
675,648,674,5
675,648,675,5
674,649,675,5
676,650,677,5
675,648,674,5
680,653,680,5
675,648,674,5
677,650,680,5
677,650,677,5
678,650,677,5
678,651,678,5
676,649,678,5
677,648,675,5
677,651,677,5
681,653,680,5
678,653,679,5
676,649,676,5
677,649,675,5
675,649,675,5
677,650,678,5
675,649,675,6
675,648,675,6
679,653,680,6
679,653,680,6
677,650,678,6
677,649,676,6
677,648,675,6
676,649,676,6
679,653,679,6
678,651,678,6
675,648,674,6
677,649,675,6
676,650,676,6
676,649,677,6
680,652,680,6
675,648,675,6
675,648,675,6
676,648,675,6
678,651,678,6
677,650,677,6
675,648,674,7
676,648,675,7
676,648,675,7
675,647,675,7
675,648,675,7
678,651,677,7
675,648,675,7
675,648,675,7
675,650,680,7
677,650,676,7
677,648,676,7
676,650,678,7
678,648,677,7
677,649,676,7
676,650,677,7
675,648,675,7
675,648,675,7
676,650,676,7
677,650,678,7
675,648,675,7
676,648,675,8
675,650,675,8
677,649,677,8
675,649,675,8
676,648,675,8
676,648,675,8
675,648,674,8
676,650,677,8
676,649,676,8
678,651,678,8
677,650,680,8
677,650,676,8
677,649,676,8
678,650,678,8
681,654,680,8
677,651,676,8
678,650,676,8
681,653,680,8
677,650,677,8
679,651,677,8
677,649,677,9
677,650,676,9
679,653,679,9
679,651,679,9
679,651,678,9
679,652,679,9
677,650,677,9
679,651,678,9
677,649,676,9
678,652,679,9
679,652,678,9
678,651,678,9
681,654,681,9
680,654,680,9
677,650,678,9
676,650,677,9
677,650,677,9
677,651,678,9
679,653,679,9
677,650,677,9
678,652,678,10
679,652,680,10
678,652,679,10
677,649,676,10
680,651,677,10
679,651,679,10
676,649,676,10
677,650,679,10
678,651,678,10
678,651,680,10
677,651,678,10
678,651,678,10
679,650,677,10
678,651,679,10
679,651,678,10
676,649,677,10
679,651,677,10
678,651,679,10
679,652,678,10
679,652,680,10
677,651,678,11
676,649,678,11
676,649,676,11
677,651,678,11
676,650,677,11
677,650,678,11
680,652,679,11
676,650,676,11
678,651,679,11
677,650,678,11
677,651,678,11
679,652,679,11
676,650,678,11
678,653,681,11
677,651,678,11
678,653,679,11
677,651,679,11
675,648,677,11
677,651,678,11
675,650,677,11
676,650,678,12
677,651,679,12
677,650,678,12
676,650,677,12
677,651,679,12
678,652,678,12
679,654,680,12
678,653,680,12
675,650,679,12
676,650,678,12
677,652,679,12
677,652,679,12
678,653,681,12
675,649,677,12
676,651,678,12
677,652,679,12
676,650,680,12
678,653,679,12
675,650,677,12
675,649,676,12
675,651,678,13
677,651,679,13
674,651,677,13
676,650,678,13
674,650,678,13
673,649,676,13
676,652,679,13
672,649,676,13
673,649,679,13
676,651,678,13
673,650,676,13
674,651,678,13
675,651,679,13
673,649,677,13
673,650,677,13
675,653,678,13
675,651,678,13
672,649,677,13
675,654,680,13
675,651,679,13
674,650,677,14
672,649,676,14
673,649,676,14
673,651,679,14
674,651,678,14
676,653,680,14
671,648,676,14
672,649,677,14
670,648,674,14
672,649,676,14
671,648,675,14
672,650,678,14
